key,src,size,dram,oscm,osc,dl,total
1048576B/key462,2,1048576,83,1412,0,673904,676079
1048576B/key463,2,1048576,68,1281,0,658331,660370
1048576B/key464,2,1048576,94,1438,0,610282,612439
1048576B/key465,2,1048576,69,1226,0,649183,651024
1048576B/key466,2,1048576,71,1143,0,604951,607171
1048576B/key467,2,1048576,74,1545,0,790740,793048
1048576B/key468,2,1048576,65,1402,0,609337,611397
1048576B/key469,2,1048576,64,1235,0,418969,420813
1048576B/key470,2,1048576,63,1235,0,419884,421781
1048576B/key471,2,1048576,64,1246,0,417219,419092
1048576B/key472,2,1048576,60,1245,0,469828,471766
1048576B/key473,2,1048576,74,1304,0,655077,657078
1048576B/key474,2,1048576,65,1285,0,682293,684282
1048576B/key475,2,1048576,63,1209,0,610799,612667
1048576B/key476,2,1048576,57,1287,0,626406,628368
1048576B/key477,2,1048576,63,1259,0,620610,622498
1048576B/key478,2,1048576,63,1193,0,615267,617089
1048576B/key479,2,1048576,59,1265,0,605483,607834
1048576B/key480,2,1048576,66,1260,0,678450,680605
1048576B/key481,2,1048576,73,1266,0,683038,684994
1048576B/key482,2,1048576,65,1272,0,680498,682320
1048576B/key483,2,1048576,63,1322,0,701116,702957
1048576B/key484,2,1048576,63,1282,0,602909,604736
1048576B/key485,2,1048576,62,1253,0,613082,614895
1048576B/key486,2,1048576,69,1266,0,597425,599229
1048576B/key487,2,1048576,62,1180,0,686164,688092
1048576B/key488,2,1048576,77,1407,0,737965,740099
1048576B/key489,2,1048576,102,2237,0,417269,420181
1048576B/key490,2,1048576,66,1208,0,408452,410350
1048576B/key491,2,1048576,60,1168,0,411592,413442
1048576B/key492,2,1048576,62,1257,0,416797,418656
1048576B/key493,2,1048576,54,1291,0,683876,685792
1048576B/key494,2,1048576,60,1233,0,866740,868593
1048576B/key495,2,1048576,59,1282,0,721183,723173
1048576B/key496,2,1048576,65,1287,0,594061,596095
1048576B/key497,2,1048576,62,1292,0,596736,598675
1048576B/key498,2,1048576,61,1294,0,614056,616403
1048576B/key499,2,1048576,72,1411,0,609790,612024
1048576B/key500,2,1048576,97,1527,0,672493,674794
1048576B/key501,2,1048576,71,1323,0,622259,624107
1048576B/key502,2,1048576,53,1166,0,601545,603232
1048576B/key503,2,1048576,59,1195,0,605464,607210
1048576B/key504,2,1048576,63,1210,0,612606,614324
1048576B/key505,2,1048576,59,1212,0,605003,606742
1048576B/key506,2,1048576,64,1211,0,607827,609571
1048576B/key507,2,1048576,63,1166,0,610888,613121
1048576B/key508,2,1048576,66,1247,0,731480,733520
1048576B/key509,2,1048576,67,1298,0,658464,660499
1048576B/key510,2,1048576,59,1188,0,469814,471641
1048576B/key511,2,1048576,60,1301,0,398674,400651
